0 -6 1 nan nan 
0.08 -6 1 0 0 
0.16 -6 1 0 0 
0.24 -6 1 0 0 
0.32 -6 1 0 0 
0.4 -6 1 0 0 
0.48 -6 1 0 0 
0.56 -6 1 0 0 
0.64 -6 1 0 0 
0.72 -6 1 0 0 
0.8 -6 1 0 0 
0.88 -6 1 0 0 
0.96 -5.99958 0.99993 0.000140729 0.00527734 
1.04 -6 1 0 0 
1.12 -5.99982 0.99997 5.27679e-05 0.00169611 
1.2 -5.9997 0.99995 8.125e-05 0.0024375 
1.28 -5.99828 0.99971 0.000418672 0.0112803 
1.36 -5.9982 0.9997 0.000433824 0.0114836 
1.44 -5.99724 0.99954 0.000575278 0.0143819 
1.52 -5.99484 0.99914 0.00132921 0.0314813 
1.6 -5.99262 0.99876 0.001814 0.0401311 
1.68 -5.98806 0.998 0.00209524 0.0443014 
1.76 -5.9867 0.99778 0.00235886 0.0479823 
1.84 -5.9827 0.99707 0.00358429 0.0663959 
1.92 -5.97346 0.9955 0.00470313 0.083124 
2 -5.96932 0.99479 0.00591795 0.100644 
2.08 -5.95526 0.99231 0.00940572 0.145491 
2.16 -5.94638 0.99085 0.00871181 0.12977 
2.24 -5.93968 0.98961 0.013816 0.193092 
2.32 -5.9207 0.9863 0.0140647 0.196089 
2.4 -5.90526 0.98339 0.0180033 0.216516 
2.48 -5.88744 0.98042 0.0186063 0.234184 
2.56 -5.87006 0.97717 0.0224731 0.262622 
2.64 -5.84478 0.97259 0.0234969 0.256651 
2.72 -5.82504 0.96874 0.0334163 0.341744 
2.8 -5.79168 0.96243 0.0335983 0.338722 
2.88 -5.75802 0.95611 0.04785 0.426601 
2.96 -5.72184 0.94929 0.047431 0.40774 
3.04 -5.6937 0.94361 0.0499302 0.415139 
3.12 -5.65124 0.93479 0.0860756 0.651782 
3.2 -5.59052 0.92215 0.0885742 0.61102 
3.28 -5.55438 0.91451 0.0794878 0.540007 
3.36 -5.5108 0.90589 0.111895 0.715051 
3.44 -5.43454 0.88832 0.11947 0.654802 
3.52 -5.38744 0.87768 0.164948 0.837346 
3.6 -5.30026 0.85747 0.152928 0.72689 
3.68 -5.28556 0.85462 0.205896 0.866302 
3.76 -5.1896 0.83008 0.202115 0.763004 
3.84 -5.09414 0.80625 0.223791 0.754372 
3.92 -4.9601 0.76249 0.588985 1.53617 
4 -4.9124 0.75139 0.369932 0.90261 
4.08 -4.82604 0.72372 0.824922 1.70369 
4.16 -4.68454 0.67555 0.591898 1.16005 
4.24 -4.55098 0.6249 1.02701 1.50057 
4.32 -4.4401 0.57685 1.97594 2.10102 
4.4 -4.29622 0.50273 2.04014 1.51219 
4.48 -4.15088 0.39171 6.83181 1.93739 
4.56 -4.00218 0.29045 6.42487 1.11259 
4.64 -3.95832 0.2763 2.94049 0.812354 
4.72 -3.90748 0.18571 6.08558 0.817354 
4.8 -3.80754 0.04115 3.9447 0.331869 
4.88 -3.81414 0.14423 3.0238 0.268543 
4.96 -3.77866 0.0252 3.76229 0.278124 
5.04 -3.75276 0.0548 2.37914 0.354682 
5.12 -3.7491 0.06466 3.71358 0.278729 
5.2 -3.70166 0.03373 2.95782 0.22296 
5.28 -3.67116 0.02761 1.84239 0.170452 
5.36 -3.65926 0.05246 1.29529 0.196369 
5.44 -3.65786 0.01767 1.40751 0.204763 
5.52 -3.63868 0.01963 1.7723 0.165901 
5.6 -3.63178 0.01408 0.981499 0.17293 
5.68 -3.61532 0.01247 1.14907 0.137315 
5.76 -3.60206 0.01812 0.785373 0.140572 
5.84 -3.5871 0.03437 0.961959 0.146657 
5.92 -3.5737 0.01793 1.14293 0.131339 
6 -3.56318 0.02754 0.765025 0.10313 
6.08 -3.55072 0.01855 0.902335 0.140351 
6.16 -3.5481 0.01641 0.757054 0.0925596 
6.24 -3.5282 0.01243 0.67914 0.117023 
6.32 -3.5272 0.0044 0.840519 0.114457 
6.4 -3.51582 0.00629 0.604646 0.120611 
6.48 -3.51678 0.00942 0.863701 0.110881 
6.56 -3.5121 0.0072 0.52164 0.0960456 
6.64 -3.50448 0.00198 0.689385 0.0839438 
6.72 -3.4941 0.00689 0.626076 0.0739829 
6.8 -3.48558 0.00145 0.588911 0.0816744 
6.88 -3.47816 0.01508 0.552063 0.0974035 
6.96 -3.46768 0.01145 0.400195 0.0729236 
7.04 -3.4736 0.00177 0.510393 0.0858277 
7.12 -3.4505 0.0048 0.53718 0.0741019 
7.2 -3.44558 0.00765 0.492014 0.0860552 
7.28 -3.44634 0.01619 0.450025 0.0808365 
7.36 -3.4423 0.00157 0.382108 0.0614202 
7.44 -3.4339 0.00281 0.59042 0.058972 
7.52 -3.42338 0.00668 0.304231 0.0656182 
7.6 -3.41292 0.00713 0.420666 0.0651432 
7.68 -3.41076 0.0114 0.362021 0.0692014 
7.76 -3.42124 0.00837 0.292712 0.0824832 
7.84 -3.4054 0.0062 0.364102 0.0495204 
7.92 -3.39696 0.01066 0.306708 0.0600277 

